,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,14.0,16.0,15.0,24.0,26.0,8.0,6.0,10.0,18.0,19.0,17.0,17.0,48.0,32.0,18.0,22.0,9.0,15.0,20.0,63.0,34.0,22.0,15.0,17.0,6.0,22.0,22.0,13.0,43.0,14.0,75.0,9.0,8.0,10.0,14.0,10.0,13.0,34.0,24.0,13.0,26.0,92.0,9.0,17.0,0.0
1,27.0,19.0,15.0,17.0,25.0,13.0,12.0,16.0,22.0,9.0,14.0,26.0,39.0,31.0,19.0,20.0,7.0,29.0,11.0,66.0,22.0,21.0,23.0,14.0,12.0,19.0,28.0,17.0,30.0,15.0,80.0,10.0,8.0,9.0,10.0,12.0,14.0,35.0,24.0,16.0,30.0,68.0,11.0,19.0,0.0
2,14.0,14.0,19.0,16.0,21.0,7.0,7.0,12.0,16.0,9.0,12.0,13.0,44.0,23.0,12.0,18.0,5.0,18.0,28.0,123.0,23.0,18.0,10.0,22.0,12.0,14.0,9.0,8.0,44.0,13.0,146.0,7.0,13.0,10.0,12.0,6.0,8.0,30.0,22.0,11.0,26.0,109.0,10.0,19.0,0.0
3,15.0,14.0,14.0,23.0,21.0,6.0,8.0,11.0,19.0,10.0,12.0,13.0,38.0,26.0,11.0,17.0,7.0,12.0,14.0,54.0,25.0,15.0,14.0,16.0,13.0,17.0,12.0,9.0,40.0,17.0,76.0,8.0,16.0,12.0,10.0,12.0,10.0,33.0,24.0,20.0,13.0,69.0,5.0,21.0,0.0
4,8.0,22.0,14.0,21.0,17.0,11.0,10.0,25.0,15.0,15.0,19.0,11.0,9.0,12.0,15.0,16.0,10.0,15.0,10.0,8.0,14.0,6.0,21.0,18.0,20.0,7.0,17.0,17.0,11.0,24.0,15.0,13.0,10.0,12.0,34.0,10.0,28.0,12.0,14.0,16.0,18.0,17.0,12.0,23.0,0.0
5,10.0,19.0,11.0,16.0,11.0,10.0,10.0,21.0,13.0,7.0,12.0,10.0,7.0,14.0,12.0,9.0,9.0,12.0,13.0,4.0,10.0,6.0,16.0,15.0,12.0,6.0,19.0,9.0,8.0,23.0,6.0,18.0,8.0,11.0,23.0,7.0,22.0,17.0,7.0,9.0,20.0,11.0,13.0,18.0,0.0
6,7.0,23.0,11.0,13.0,14.0,14.0,19.0,35.0,14.0,15.0,15.0,14.0,9.0,12.0,14.0,11.0,9.0,7.0,14.0,4.0,10.0,4.0,22.0,15.0,12.0,4.0,21.0,18.0,8.0,30.0,11.0,12.0,5.0,10.0,16.0,10.0,31.0,10.0,12.0,20.0,18.0,11.0,10.0,12.0,0.0
7,5.0,22.0,13.0,15.0,17.0,12.0,16.0,26.0,21.0,14.0,16.0,11.0,11.0,10.0,13.0,9.0,11.0,13.0,13.0,2.0,10.0,7.0,21.0,14.0,13.0,8.0,32.0,13.0,10.0,23.0,11.0,11.0,10.0,12.0,18.0,10.0,27.0,6.0,14.0,12.0,8.0,13.0,13.0,22.0,0.0
8,13.0,17.0,12.0,22.0,27.0,10.0,16.0,35.0,16.0,11.0,17.0,16.0,23.0,30.0,19.0,14.0,10.0,19.0,26.0,20.0,19.0,18.0,22.0,16.0,26.0,14.0,17.0,22.0,23.0,20.0,20.0,19.0,17.0,8.0,12.0,20.0,16.0,18.0,15.0,19.0,30.0,22.0,12.0,10.0,0.0
9,24.0,11.0,10.0,24.0,25.0,12.0,17.0,22.0,16.0,16.0,11.0,24.0,20.0,15.0,18.0,15.0,8.0,25.0,16.0,14.0,14.0,26.0,19.0,21.0,28.0,13.0,15.0,21.0,20.0,22.0,14.0,21.0,21.0,12.0,9.0,18.0,18.0,14.0,16.0,30.0,40.0,7.0,12.0,17.0,0.0
