,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,15.0,3.0,15.0,15.0,34.0,30.0,13.0,18.0,70.0,76.0,15.0,70.0,24.0,25.0,16.0,20.0,29.0,12.0,18.0,26.0,30.0,21.0,12.0,7.0,22.0,10.0,5.0,19.0,10.0,26.0,11.0,19.0,5.0,15.0,18.0,10.0,10.0,11.0,9.0,13.0,17.0,5.0,11.0,5.0,0.0
1,15.0,19.0,19.0,15.0,7.0,22.0,20.0,5.0,1.0,9.0,11.0,14.0,12.0,13.0,14.0,10.0,29.0,10.0,11.0,14.0,11.0,22.0,12.0,5.0,11.0,8.0,10.0,18.0,16.0,15.0,14.0,16.0,10.0,31.0,15.0,19.0,10.0,9.0,11.0,15.0,15.0,20.0,7.0,3.0,0.0
2,9.0,11.0,13.0,7.0,19.0,13.0,9.0,6.0,15.0,9.0,11.0,13.0,11.0,16.0,12.0,16.0,10.0,9.0,6.0,13.0,19.0,14.0,25.0,16.0,11.0,5.0,14.0,5.0,30.0,10.0,7.0,15.0,15.0,16.0,11.0,6.0,24.0,15.0,10.0,6.0,15.0,5.0,14.0,16.0,0.0
3,11.0,24.0,12.0,17.0,5.0,16.0,20.0,28.0,7.0,12.0,8.0,19.0,12.0,23.0,13.0,13.0,21.0,22.0,15.0,13.0,15.0,22.0,9.0,7.0,16.0,12.0,21.0,14.0,12.0,17.0,15.0,16.0,9.0,17.0,15.0,17.0,8.0,14.0,7.0,18.0,12.0,11.0,6.0,25.0,0.0
4,17.0,28.0,28.0,9.0,20.0,24.0,24.0,17.0,12.0,37.0,43.0,26.0,21.0,21.0,13.0,21.0,29.0,19.0,18.0,19.0,26.0,19.0,28.0,11.0,21.0,14.0,20.0,20.0,19.0,17.0,22.0,14.0,15.0,23.0,26.0,50.0,15.0,19.0,14.0,16.0,19.0,20.0,12.0,12.0,0.0
5,8.0,7.0,16.0,22.0,38.0,19.0,12.0,10.0,19.0,24.0,32.0,26.0,18.0,20.0,21.0,16.0,27.0,17.0,10.0,7.0,18.0,12.0,20.0,8.0,14.0,7.0,8.0,14.0,21.0,17.0,7.0,14.0,12.0,23.0,13.0,31.0,31.0,14.0,5.0,10.0,22.0,5.0,14.0,6.0,0.0
6,20.0,20.0,19.0,9.0,8.0,24.0,15.0,41.0,10.0,11.0,10.0,17.0,15.0,12.0,6.0,14.0,14.0,12.0,7.0,18.0,13.0,55.0,23.0,13.0,14.0,17.0,13.0,28.0,20.0,13.0,11.0,8.0,22.0,18.0,14.0,11.0,24.0,11.0,13.0,18.0,12.0,22.0,19.0,7.0,0.0
7,7.0,10.0,12.0,7.0,19.0,24.0,6.0,12.0,13.0,17.0,5.0,15.0,16.0,19.0,12.0,10.0,15.0,12.0,16.0,9.0,25.0,12.0,15.0,13.0,10.0,11.0,13.0,15.0,12.0,11.0,12.0,9.0,12.0,11.0,14.0,17.0,22.0,15.0,4.0,10.0,16.0,3.0,9.0,15.0,0.0
8,4.0,10.0,2.0,9.0,37.0,7.0,2.0,7.0,14.0,14.0,8.0,21.0,8.0,8.0,3.0,13.0,7.0,4.0,2.0,6.0,7.0,4.0,15.0,4.0,8.0,3.0,4.0,5.0,10.0,5.0,9.0,9.0,3.0,13.0,9.0,7.0,28.0,8.0,3.0,5.0,10.0,3.0,4.0,6.0,0.0
9,10.0,6.0,8.0,14.0,8.0,11.0,10.0,3.0,6.0,8.0,11.0,11.0,19.0,13.0,3.0,11.0,16.0,14.0,10.0,7.0,5.0,9.0,25.0,12.0,20.0,7.0,8.0,12.0,13.0,8.0,15.0,5.0,7.0,16.0,16.0,7.0,30.0,11.0,16.0,4.0,17.0,10.0,5.0,12.0,0.0
